97	호텔신라	78100	+0.51%	9927	-62.28	-8.99
98	대우조선해양	28350	-0.70%	51532	-1.74	-117.79
99	NH투자증권	9160	-0.33%	36310	10.39	4.32
100	팬오션	5680	-1.90%	144072	4.48	16.74
101	삼성증권	34050	-0.58%	20549	7.20	6.88
102	한미사이언스	43150	+1.17%	18231	43.63	9.78
103	쌍용C&E	5920	0.00%	18047	23.31	7.87
104	현대미포조선	74200	+0.68%	25618	-66.49	-2.07
105	LS	91900	-0.11%	10459	6.55	12.00
106	한진칼	44150	-1.45%	4181	4.35	33.64
107	아모레G	35700	-1.38%	17209	55.09	1.87
108	롯데지주	27850	-0.36%	10662	17.26	2.42
109	한전기술	76000	-3.31%	56227	161.70	3.40
110	LG화학우	376500	+2.03%	11487	15.97	N/A
111	OCI	119800	+0.17%	72551	3.25	25.21
112	롯데에너지머티리얼즈	61500	0.00%	30328	64.74	3.58
113	GS리테일	26900	0.00%	4242	69.69	1.00
114	DB하이텍	62200	+0.32%	81998	4.95	40.73
115	이마트	97400	-0.71%	5755	2.64	9.59
116	한화시스템	14310	-4.09%	268355	-35.33	-3.63
117	CJ	92200	0.00%	57948	16.27	3.94
118	TIGER 차이나전기차SOLACTIVE	10595	+0.05%	151827	N/A	N/A
119	KODEX 종합채권(AA-이상)액티브	105935	+0.22%	7	N/A	N/A
120	키움증권	98700	-0.60%	2182	5.65	11.50
121	KODEX 200선물인버스2X	2760	-0.18%	41705622	N/A	N/A
122	현대차우	104700	+3.87%	77205	3.94	N/A
123	한국가스공사	26650	-0.56%	13566	1.65	15.67
124	HL만도	51100	+3.02%	99935	24.41	4.78
125	동원산업	47950	-0.72%	1287	6.06	8.53
126	한솔케미칼	211000	0.00%	2549	15.42	21.36
127	농심	387500	+0.13%	362	20.30	5.17
128	롯데쇼핑	80400	0.00%	3088	-7.01	-3.30
129	TIGER 미국나스닥100	77250	+0.10%	23818	N/A	N/A
130	BNK금융지주	6780	+0.15%	78018	2.73	8.43
131	에스디바이오센서	20900	+2.45%	52731	2.37	35.30
132	에스원	57100	-0.17%	1626	14.36	10.19
133	제일기획	18860	-0.05%	11631	11.20	16.64
134	휠라홀딩스	35550	-0.14%	2551	6.28	19.71
135	코스모화학	61300	+2.17%	234260	182.99	6.13
136	한화	28500	-0.18%	32574	2.13	24.47
137	한화생명	2455	-1.21%	96681	2.91	9.05
138	두산퓨얼셀	32150	0.00%	29309	684.04	0.74
139	TIGER 200	33000	+0.03%	12059	N/A	N/A
140	KODEX 레버리지	15595	+0.10%	1673939	N/A	N/A
141	한미반도체	20800	+1.71%	359511	22.27	25.04
142	KODEX 200TR	11080	0.00%	4240	N/A	N/A
143	KCC	224000	-1.54%	3053	58.78	0.67
144	신세계	202000	-0.49%	4901	4.90	10.34
145	영원무역	44400	+0.11%	2624	2.92	26.80
146	LS ELECTRIC	65500	+0.46%	6959	21.76	5.95
147	HD현대인프라코어	9600	+4.69%	1632349	8.25	15.29
148	대한전선	1532	-0.65%	1214749	85.11	3.32
149	동서	19110	-0.57%	3429	11.35	11.33
150	현대일렉트릭	51900	-2.08%	32395	11.51	22.13
151	LIG넥스원	84700	-2.64%	109244	15.16	14.48
152	TIGER 미국S&P500	13760	-0.29%	171203	N/A	N/A
153	오뚜기	457000	+0.22%	102	6.25	16.53
154	GS건설	21100	+0.24%	32882	5.32	7.18
155	효성첨단소재	398500	+0.25%	2312	14.24	19.11
156	CJ대한통운	77400	-0.64%	2109	9.72	5.09
157	LX세미콘	106700	+0.85%	12231	7.43	26.70
158	JB금융지주	8800	-1.23%	30481	2.88	13.76
159	현대위아	63000	+1.78%	123594	26.20	1.99
160	대우건설	4080	+0.25%	96557	3.36	14.55
161	한전KPS	36400	-3.70%	29878	16.35	8.61
162	KG모빌리티	8760	0.00%	0	-8.18	-12.10
163	효성티앤씨	376000	-0.92%	1381	140.40	0.88
164	TIGER 미국테크TOP10 INDXX	11060	+1.24%	196708	N/A	N/A
165	롯데정밀화학	61200	-0.16%	5824	10.80	6.51
166	덴티움	142400	+0.21%	2096	18.31	25.86
167	에스엘	33800	+3.52%	113079	10.27	9.87
168	하이트진로	22050	-0.23%	10756	18.06	7.72
169	두산	93100	-1.48%	8419	-2.86	-36.00
170	KODEX 23-12 은행채(AA+이상)액티브	10275	-0.05%	21053	N/A	N/A
171	TIGER 미국필라델피아반도체나스닥	10505	-1.41%	221328	N/A	N/A
172	롯데칠성	156200	-0.70%	535	12.23	9.11
173	녹십자	123600	-0.32%	2143	22.07	5.03
174	TIGER MSCI Korea TR	13825	+0.11%	17563	N/A	N/A
175	현대엘리베이	34750	-1.42%	14345	18.10	6.89
176	솔루스첨단소재	40350	-0.74%	14355	-155.79	-2.68
177	효성	65700	-0.45%	1939	88.43	0.60
178	DL이앤씨	33250	+0.76%	11266	3.45	9.70
179	후성	13610	-0.73%	98494	13.00	31.60
180	금호타이어	4445	+0.11%	51512	-16.16	-6.87
181	동원시스템즈	44000	-0.56%	9750	17.86	10.40
182	이수화학	45000	-0.77%	250239	45.36	9.41
183	TIGER 2차전지테마	29480	+0.24%	252787	N/A	N/A
184	KODEX 단기채권PLUS	106450	+0.01%	5964	N/A	N/A
185	KODEX 삼성그룹	9165	-0.16%	2939	N/A	N/A
186	대웅제약	106100	0.00%	2272	29.10	7.17
187	SK케미칼	71200	-1.11%	3880	7.31	9.11
188	KBSTAR 종합채권(A-이상)액티브	98150	0.00%	0	N/A	N/A
189	KBSTAR 200	33170	+0.02%	6568	N/A	N/A
190	풍산	43100	-2.38%	43239	6.90	9.94
191	코오롱인더	43800	+0.23%	9229	7.38	7.13
192	한국앤컴퍼니	12480	+0.24%	2852	7.14	4.37
193	현대백화점	50600	-0.39%	4874	8.22	3.20
194	LX인터내셔널	30200	-0.49%	22746	2.27	25.53
195	DGB금융지주	6890	-0.72%	31165	2.90	7.38
196	HD현대건설기계	58700	+1.56%	11249	10.37	7.99
197	동국제강	12080	-0.98%	16189	2.79	14.21
198	아이에스동서	36950	-0.14%	7942	5.83	14.84
199	삼아알미늄	76400	+3.38%	56454	48.85	13.24
200	KODEX 2차전지산업	28420	+0.39%	220396	N/A	N/A
